"ID","Probe_Set","REP","sample_ID","Sample_Set","Shehia","Study_Site","longitude","latitude"
"MqTZ0354","JL",1,"MqTZ0354","MAIN-A",NA,"Bagamoyo",38.9042446,-6.434682192
"YB5181","JJJ",1,"YB5181","MAIN-S",NA,"Bagamoyo",38.9042446,-6.434682192
"YB5433","JJJ",1,"YB5433","MAIN-S",NA,"Bagamoyo",38.9042446,-6.434682192
"YB5446","JJJ",1,"YB5446","MAIN-S",NA,"Bagamoyo",38.9042446,-6.434682192
"HDT21","JJJ",1,"HDT21","ZAN-S","Mwera","Uzini",NA,NA
"YB5454","JJJ",1,"YB5454","MAIN-S",NA,"Bagamoyo",38.9042446,-6.434682192
"ASM18","JJJ",1,"ASM18","ZAN-S","Kisauni","Bububu",NA,NA
"MHM18","JJJ",1,"MHM18","ZAN-S","Uzini","Uzini",NA,NA
"FNK18","JJJ",1,"FNK18","ZAN-S","Kiuyu","Micheweni",NA,NA
"MqTZ0425","JL",1,"MqTZ0425","MAIN-A",NA,"Bagamoyo",38.9042446,-6.434682192
"YB5008","JJJ",1,"YB5008","MAIN-S",NA,"Bagamoyo",38.9042446,-6.434682192
"YB5253","JJJ",1,"YB5253","MAIN-S",NA,"Bagamoyo",38.9042446,-6.434682192
"YB5198","JJJ",1,"YB5198","MAIN-S",NA,"Bagamoyo",38.9042446,-6.434682192
"FP7454","JJJ",1,"FP7454","ZAN-A","JENDELE",NA,39.38463273,-6.160848131
"FP27539","JJJ",1,"FP27539","ZAN-A","GHANA",NA,39.30155712,-6.043466976
"YB5322","JJJ",1,"YB5322","MAIN-S",NA,"Bagamoyo",38.9042446,-6.434682192
"MqTZ0167","JL",1,"MqTZ0167","MAIN-A",NA,"Bagamoyo",38.9042446,-6.434682192
"UJM29","JJJ",1,"UJM29","ZAN-S","Mbalene","Bububu",NA,NA
"YB5302","JJJ",1,"YB5302","MAIN-S",NA,"Bagamoyo",38.9042446,-6.434682192
"MOA2","JJJ",1,"MOA2","ZAN-S","Vyamboni","Micheweni",NA,NA
"DMA30","JJJ",1,"DMA30","ZAN-S","Bambi","Uzini",NA,NA
"RAA55","JJJ",1,"RAA55","ZAN-S","Dimani","Bububu",NA,NA
"YB5022","JJJ",1,"YB5022","MAIN-S",NA,"Bagamoyo",38.9042446,-6.434682192
"AAB39","JJJ",1,"AAB39","ZAN-S","Dimani","Bububu",NA,NA
"YB5320","JJJ",1,"YB5320","MAIN-S",NA,"Bagamoyo",38.9042446,-6.434682192
"YB5388","JJJ",1,"YB5388","MAIN-S",NA,"Bagamoyo",38.9042446,-6.434682192
"YB5297","JJJ",1,"YB5297","MAIN-S",NA,"Bagamoyo",38.9042446,-6.434682192
"FP21307","JJJ",1,"FP21307","ZAN-A","UZI",NA,NA,NA
"MMK17","JJJ",1,"MMK17","ZAN-S","Kitogani","Bububu",NA,NA
"RMR27","JJJ",1,"RMR27","ZAN-S","Chuini","Bububu",NA,NA
"YHH36","JJJ",1,"YHH36","ZAN-S","Uzini","Uzini",NA,NA
"FP2255","JJJ",1,"FP2255","ZAN-A","K_MKWAJUNI",NA,39.31241867,-6.077089055
