sample_ID	Sample_Set	Month	Year
FP0289	ZAN-A	10	2016
FP0347	ZAN-A	7	2016
FP0962	ZAN-A	9	2016
FP1449	ZAN-A	9	2016
FP1476	ZAN-A	10	2016
FP1596	ZAN-A	9	2016
FP1740	ZAN-A	12	2016
FP2255	ZAN-A	10	2016
FP2259	ZAN-A	10	2016
FP2424	ZAN-A	9	2016
FP2646	ZAN-A	5	2016
FP2665	ZAN-A	11	2016
FP3328	ZAN-A	2	2016
FP3417	ZAN-A	2	2016
FP3543	ZAN-A	2	2016
FP4108	ZAN-A	12	2016
FP4150	ZAN-A	5	2016
FP4256	ZAN-A	9	2016
FP4257	ZAN-A	9	2016
FP4264	ZAN-A	9	2016
FP4859	ZAN-A	7	2016
FP4860	ZAN-A	7	2016
FP4861	ZAN-A	7	2016
FP5079	ZAN-A	9	2016
FP5179	ZAN-A	10	2016
FP5281	ZAN-A	7	2016
FP5967	ZAN-A	9	2016
FP6063	ZAN-A	12	2016
FP6215	ZAN-A	12	2016
FP6540	ZAN-A	5	2016
FP6542	ZAN-A	5	2016
FP6627	ZAN-A	11	2016
FP6915	ZAN-A	5	2016
FP7039	ZAN-A	5	2016
FP7454	ZAN-A	4	2016
FP7898	ZAN-A	4	2016
FP7978	ZAN-A	6	2016
FP8390	ZAN-A	5	2016
FP8575	ZAN-A	5	2016
FP26048	ZAN-A	4	2016
FP26146	ZAN-A	4	2016
FP29060	ZAN-A	9	2016
FP29243	ZAN-A	9	2016
FP29714	ZAN-A	9	2016
FP29722	ZAN-A	9	2016
FP29420	ZAN-A	9	2016
FP20924	ZAN-A	6	2016
FP27539	ZAN-A	6	2016
FP25464	ZAN-A	2	2016
FP25616	ZAN-A	2	2016
FP25733	ZAN-A	2	2016
FP30627	ZAN-A	8	2016
FP30664	ZAN-A	8	2016
FP23104	ZAN-A	8	2016
FP23473	ZAN-A	8	2016
FP23631	ZAN-A	8	2016
FP24365	ZAN-A	8	2016
FP28761	ZAN-A	7	2016
FP28762	ZAN-A	7	2016
FP28763	ZAN-A	7	2016
FP28902	ZAN-A	7	2016
FP28904	ZAN-A	7	2016
FP28909	ZAN-A	7	2016
FP28999	ZAN-A	7	2016
FP22051	ZAN-A	8	2016
FP22098	ZAN-A	8	2016
FP22099	ZAN-A	8	2016
FP20443	ZAN-A	8	2016
FP21307	ZAN-A	8	2016
FP26854	ZAN-A	5	2016
SMM1	ZAN-S	5	2017
KMM2	ZAN-S	5	2017
ASS3	ZAN-S	5	2017
TRK4	ZAN-S	5	2017
AAC5	ZAN-S	5	2017
TMM6	ZAN-S	5	2017
AJS7	ZAN-S	5	2017
FAM8	ZAN-S	5	2017
LSB9	ZAN-S	5	2017
HMN10	ZAN-S	5	2017
KMK11	ZAN-S	5	2017
GSS12	ZAN-S	5	2017
AAP13	ZAN-S	5	2017
WJZ14	ZAN-S	5	2017
SAJ15	ZAN-S	5	2017
NAJ16	ZAN-S	5	2017
MMK17	ZAN-S	5	2017
ASM18	ZAN-S	6	2017
JAL19	ZAN-S	6	2017
AKS20	ZAN-S	6	2017
PAS21	ZAN-S	6	2017
BRS22	ZAN-S	6	2017
UAA23	ZAN-S	6	2017
AAA24	ZAN-S	6	2017
MPN25	ZAN-S	6	2017
MSS26	ZAN-S	6	2017
RMR27	ZAN-S	6	2017
PIA28	ZAN-S	6	2017
UJM29	ZAN-S	6	2017
KSA30	ZAN-S	6	2017
ASS31	ZAN-S	6	2017
RSA32	ZAN-S	6	2017
AR033	ZAN-S	6	2017
ZOA34	ZAN-S	6	2017
AJS35	ZAN-S	6	2017
RPM36	ZAN-S	6	2017
CJA37	ZAN-S	6	2017
AJM38	ZAN-S	6	2017
AAB39	ZAN-S	6	2017
EEA40	ZAN-S	6	2017
WSA41	ZAN-S	6	2017
SAK42	ZAN-S	6	2017
AKM43	ZAN-S	6	2017
TJK44	ZAN-S	6	2017
AKO45	ZAN-S	6	2017
AHJ46	ZAN-S	6	2017
HRA47	ZAN-S	6	2017
MJM48	ZAN-S	6	2017
AMJ49	ZAN-S	6	2017
ZIA50	ZAN-S	6	2017
HHV51	ZAN-S	6	2017
JRS52	ZAN-S	6	2017
AMH53	ZAN-S	6	2017
MKK54	ZAN-S	6	2017
RAA55	ZAN-S	6	2017
HIH56	ZAN-S	6	2017
KNM57	ZAN-S	6	2017
HAR58	ZAN-S	6	2017
RLK59	ZAN-S	6	2017
AMA60	ZAN-S	6	2017
BPM61	ZAN-S	8	2017
FKK62	ZAN-S	8	2017
AMM63	ZAN-S	8	2017
AJM64	ZAN-S	8	2017
AMA65	ZAN-S	8	2017
PST66	ZAN-S	8	2017
SOA1	ZAN-S	5	2017
MOA2	ZAN-S	5	2017
AAJ3	ZAN-S	5	2017
MIM4	ZAN-S	5	2017
MRI5	ZAN-S	5	2017
MR16	ZAN-S	5	2017
HOA7	ZAN-S	5	2017
IOO8	ZAN-S	5	2017
KHS9	ZAN-S	5	2017
OKM10	ZAN-S	5	2017
AHO11	ZAN-S	6	2017
HRH12	ZAN-S	6	2017
FAH13	ZAN-S	6	2017
MJO14	ZAN-S	6	2017
MSF15	ZAN-S	6	2017
HAB16	ZAN-S	6	2017
MNK17	ZAN-S	6	2017
FNK18	ZAN-S	6	2017
AKR19	ZAN-S	6	2017
MHH2	ZAN-S	6	2017
BKM21	ZAN-S	6	2017
SSA22	ZAN-S	6	2017
YAK23	ZAN-S	6	2017
KKD24	ZAN-S	6	2017
FMA25	ZAN-S	6	2017
RSR26	ZAN-S	7	2017
OHO27	ZAN-S	7	2017
SAJ28	ZAN-S	7	2017
JAJ29	ZAN-S	7	2017
HAF30	ZAN-S	7	2017
HKT31	ZAN-S	8	2017
STK32	ZAN-S	8	2017
MTK33	ZAN-S	8	2017
KHA34	ZAN-S	8	2017
SBA35	ZAN-S	8	2017
SHJ36	ZAN-S	9	2017
AHJ37	ZAN-S	8	2017
ARA38	ZAN-S	8	2017
RJS39	ZAN-S	8	2017
FMZ4	ZAN-S	8	2017
SJA41	ZAN-S	8	2017
FMH42	ZAN-S	8	2017
MMS43	ZAN-S	8	2017
HMK1	ZAN-S	5	2017
BIM02	ZAN-S	5	2017
IAA03	ZAN-S	5	2017
AMM4	ZAN-S	5	2017
YMJ5	ZAN-S	5	2017
MKA6	ZAN-S	5	2017
MJC7	ZAN-S	6	2017
MMO8	ZAN-S	6	2017
SKA09	ZAN-S	6	2017
KMA10	ZAN-S	6	2017
AMH11	ZAN-S	6	2017
MUM12	ZAN-S	6	2017
NHA13	ZAN-S	6	2017
MOS14	ZAN-S	6	2017
HSV15	ZAN-S	6	2017
MNK16	ZAN-S	6	2017
RBJ17	ZAN-S	6	2017
MHM18	ZAN-S	6	2017
MIA19	ZAN-S	6	2017
AAS20	ZAN-S	6	2017
HDT21	ZAN-S	6	2017
SDS22	ZAN-S	6	2017
SKM23	ZAN-S	6	2017
KSH24	ZAN-S	6	2017
SIS25	ZAN-S	6	2017
TAS26	ZAN-S	6	2017
SJH27	ZAN-S	6	2017
AKM28	ZAN-S	6	2017
SJH29	ZAN-S	6	2017
DMA30	ZAN-S	6	2017
OCO31	ZAN-S	6	2017
JKJ32	ZAN-S	6	2017
AIS33	ZAN-S	6	2017
MHJ34	ZAN-S	6	2017
MAO35	ZAN-S	7	2017
YHH36	ZAN-S	7	2017
KKV37	ZAN-S	7	2017
YB5001	MAIN-S	9	2016
YB5002	MAIN-S	9	2016
YB5003	MAIN-S	9	2016
YB5008	MAIN-S	10	2016
YB5013	MAIN-S		
YB5016	MAIN-S		
YB5019	MAIN-S		
YB5020	MAIN-S		
YB5021	MAIN-S		
YB5022	MAIN-S		
YB5025	MAIN-S		
YB5026	MAIN-S		
YB5027	MAIN-S		
YB5029	MAIN-S		
YB5031	MAIN-S		
YB5034	MAIN-S		
YB5035	MAIN-S		
YB5036	MAIN-S		
YB5037	MAIN-S		
YB5039	MAIN-S		
YB5040	MAIN-S		
YB5049	MAIN-S		
YB5050	MAIN-S		
YB5052	MAIN-S		
YB5053	MAIN-S		
YB5054	MAIN-S		
YB5055	MAIN-S		
YB5056	MAIN-S		
YB5058	MAIN-S		
YB5059	MAIN-S		
YB5060	MAIN-S		
YB5062	MAIN-S		
YB5066	MAIN-S		
YB5067	MAIN-S		
YB5070	MAIN-S		
YB5071	MAIN-S		
YB5072	MAIN-S		
YB5073	MAIN-S		
YB5074	MAIN-S		
YB5075	MAIN-S		
YB5076	MAIN-S		
YB5077	MAIN-S		
YB5078	MAIN-S		
YB5079	MAIN-S		
YB5080	MAIN-S		
YB5081	MAIN-S		
YB5082	MAIN-S		
YB5083	MAIN-S		
YB5084	MAIN-S		
YB5085	MAIN-S		
YB5086	MAIN-S		
YB5099	MAIN-S		
YB5135	MAIN-S		
YB5137	MAIN-S		
YB5235	MAIN-S		
YB5236	MAIN-S		
YB5237	MAIN-S		
YB5238	MAIN-S		
YB5239	MAIN-S		
YB5240	MAIN-S		
YB5242	MAIN-S		
YB5244	MAIN-S		
YB5245	MAIN-S		
YB5246	MAIN-S		
YB5249	MAIN-S		
YB5250	MAIN-S		
YB5251	MAIN-S		
YB5253	MAIN-S		
YB5255	MAIN-S		
YB5256	MAIN-S		
YB5258	MAIN-S		
YB5259	MAIN-S		
YB5260	MAIN-S		
YB5261	MAIN-S		
YB5262	MAIN-S		
YB5263	MAIN-S		
YB5265	MAIN-S		
YB5266	MAIN-S		
YB5268	MAIN-S		
YB5272	MAIN-S		
YB5273	MAIN-S		
YB5280	MAIN-S		
YB5285	MAIN-S		
YB5291	MAIN-S		
YB5292	MAIN-S		
YB5294	MAIN-S		
YB5295	MAIN-S		
YB5296	MAIN-S		
YB5297	MAIN-S		
YB5298	MAIN-S		
YB5299	MAIN-S		
YB5300	MAIN-S		
YB5302	MAIN-S		
YB5304	MAIN-S		
YB5310	MAIN-S		
YB5311	MAIN-S		
YB5312	MAIN-S		
YB5319	MAIN-S		
YB5320	MAIN-S		
YB5322	MAIN-S		
YB5325	MAIN-S		
YB5326	MAIN-S		
YB5327	MAIN-S		
YB5331	MAIN-S		
YB5335	MAIN-S		
YB5340	MAIN-S		
YB5346	MAIN-S		
YB5351	MAIN-S		
YB5355	MAIN-S		
YB5370	MAIN-S		
YB5378	MAIN-S		
YB5388	MAIN-S		
YB5398	MAIN-S		
YB5408	MAIN-S		
YB5419	MAIN-S		
YB5423	MAIN-S		
YB5424	MAIN-S		
YB5430	MAIN-S		
YB5431	MAIN-S		
YB5432	MAIN-S		
YB5433	MAIN-S		
YB5434	MAIN-S		
YB5435	MAIN-S		
YB5437	MAIN-S		
YB5439	MAIN-S		
YB5443	MAIN-S		
YB5445	MAIN-S		
YB5446	MAIN-S		
YB5452	MAIN-S		
YB5454	MAIN-S		
YB5455	MAIN-S		
YB5460	MAIN-S		
YB5461	MAIN-S		
YB5462	MAIN-S		
YB5465	MAIN-S		
YB5466	MAIN-S		
YB5467	MAIN-S		
YB5468	MAIN-S		
MqTZ0096	MAIN-A	10	2018
MqTZ0116	MAIN-A	10	2018
MqTZ0121	MAIN-A	10	2018
MqTZ0123	MAIN-A	10	2018
MqTZ0140	MAIN-A	10	2018
MqTZ0153	MAIN-A	10	2018
MqTZ0162	MAIN-A	10	2018
MqTZ0164	MAIN-A	10	2018
MqTZ0167	MAIN-A	10	2018
MqTZ0178	MAIN-A	10	2018
MqTZ0187	MAIN-A	10	2018
MqTZ0189	MAIN-A	10	2018
MqTZ0191	MAIN-A	10	2018
MqTZ0202	MAIN-A	10	2018
MqTZ0216	MAIN-A	10	2018
MqTZ0235	MAIN-A	10	2018
MqTZ0260	MAIN-A	11	2018
MqTZ0276	MAIN-A	11	2018
MqTZ0302	MAIN-A	11	2018
MqTZ0354	MAIN-A	11	2018
MqTZ0362	MAIN-A	11	2018
MqTZ0364	MAIN-A	11	2018
MqTZ0366	MAIN-A	11	2018
MqTZ0367	MAIN-A	11	2018
MqTZ0385	MAIN-A	11	2018
MqTZ0406	MAIN-A	11	2018
MqTZ0425	MAIN-A	11	2018
MqTZ0426	MAIN-A	11	2018
MqTZ0437	MAIN-A	11	2018
MqTZ0440	MAIN-A	11	2018
MqTZ0451	MAIN-A	11	2018
MqTZ0454	MAIN-A	11	2018
MqTZ0455	MAIN-A	11	2018
MqTZ0462	MAIN-A	11	2018
MqTZ0475	MAIN-A	11	2018
MqTZ0477	MAIN-A	11	2018
MqTZ0489	MAIN-A	11	2018
MqTZ0494	MAIN-A	11	2018
MqTZ0499	MAIN-A	11	2018
MqTZ0518	MAIN-A	11	2018
