file	CorP	name	mean	median	sd	quantile0.025	quantile0.975
output_COI.txt	C	AAA24	2	2	1.87512	2	10
output_COI.txt	C	AAB39	2	2	1.80712	2	9
output_COI.txt	C	AAC5	1	1	2.05797	1	10
output_COI.txt	C	AAJ3	1	1	1.86308	1	7
output_COI.txt	C	AAP13	4	3	3.28865	3	18
output_COI.txt	C	AAS20	1	1	1.91156	1	7.02499999999998
output_COI.txt	C	AHO11	1	1	1.80046	1	7
output_COI.txt	C	AIS33	5	4	3.85186	4	21
output_COI.txt	C	AJM38	1	1	1.89223	1	8
output_COI.txt	C	AJM64	1	1	1.8965	1	7.02499999999998
output_COI.txt	C	AJS35	3	2	2.33046	2	13
output_COI.txt	C	AJS7	1	1	1.76969	1	6
output_COI.txt	C	AKM28	1	1	2.05173	1	9
output_COI.txt	C	AKM43	3	2	2.72026	2	15
output_COI.txt	C	AKO45	2	2	1.83802	2	9
output_COI.txt	C	AKR19	1	1	1.99736	1	10
output_COI.txt	C	AKS20	2	2	1.97308	2	11
output_COI.txt	C	AMA60	2	2	2.05084	2	12
output_COI.txt	C	AMA65	1	1	1.78615	1	6.02499999999998
output_COI.txt	C	AMH11	4	3	3.09913	3	16
output_COI.txt	C	AMH53	2	2	2.12495	2	12
output_COI.txt	C	AMM4	3	2	2.3616	2	14
output_COI.txt	C	AMM63	2	2	2.06619	2	11
output_COI.txt	C	AR033	4	3	3.20909	3	17
output_COI.txt	C	ARA38	2	2	1.92492	2	10.025
output_COI.txt	C	ASM18	1	1	1.86572	1	7
output_COI.txt	C	ASS3	4	3	2.75757	3	15
output_COI.txt	C	BIM02	2	2	1.92187	2	11
output_COI.txt	C	BKM21	1	1	2.05422	1	9
output_COI.txt	C	BPM61	3	2	2.33343	2	13
output_COI.txt	C	BRS22	1	1	1.83429	1	7
output_COI.txt	C	CJA37	1	1	1.84811	1	7
output_COI.txt	C	DMA30	4	3	2.97298	3	15
output_COI.txt	C	EEA40	1	1	1.89905	1	7.02499999999998
output_COI.txt	C	FAH13	1	1	2.00669	1	10
output_COI.txt	C	FAM8	3	2	2.36032	2	14
output_COI.txt	C	FKK62	1	1	1.86356	1	7
output_COI.txt	C	FMH42	3	2	2.56744	2	14.025
output_COI.txt	C	FMZ4	1	1	2.00603	1	8
output_COI.txt	C	FNK18	1	1	1.80748	1	7
output_COI.txt	C	FP0962	2	2	2.07011	2	12
output_COI.txt	C	FP1476	1	1	1.98947	1	8
output_COI.txt	C	FP20924	2	2	2.04331	2	11
output_COI.txt	C	FP22051	1	1	1.875	1	7
output_COI.txt	C	FP22098	1	1	1.92222	1	8
output_COI.txt	C	FP22099	2	2	1.88938	2	9
output_COI.txt	C	FP2259	3	2	2.39332	2	13
output_COI.txt	C	FP23631	1	1	1.96096	1	8
output_COI.txt	C	FP25464	1	1	1.94051	1	8
output_COI.txt	C	FP26048	2	2	2.13075	2	11.025
output_COI.txt	C	FP26146	2	2	2.29417	2	13.025
output_COI.txt	C	FP2646	1	1	2.03813	1	9.02499999999998
output_COI.txt	C	FP26854	2	2	2.01277	2	11
output_COI.txt	C	FP27539	6	5	3.81104	5	21
output_COI.txt	C	FP28902	2	2	1.76292	2	9
output_COI.txt	C	FP28909	1	1	2.02305	1	8
output_COI.txt	C	FP4257	5	4	3.4466	4	18.025
output_COI.txt	C	FP4264	2	2	2.0374	2	11
output_COI.txt	C	FP5079	4	3	3.27607	3	19
output_COI.txt	C	FP5281	3	2	2.85362	2	15
output_COI.txt	C	FP5967	2	2	2.01368	2	11
output_COI.txt	C	GSS12	1	1	2.13674	1	10
output_COI.txt	C	HAB16	1	1	1.86509	1	8
output_COI.txt	C	HAF30	1	1	1.86759	1	8
output_COI.txt	C	HAR58	1	1	1.92096	1	7
output_COI.txt	C	HDT21	1	1	2.1654	1	10
output_COI.txt	C	HHV51	1	1	1.93867	1	7.02499999999998
output_COI.txt	C	HIH56	1	1	1.95005	1	7.02499999999998
output_COI.txt	C	HKT31	1	1	1.97864	1	7.02499999999998
output_COI.txt	C	HMK1	1	1	2.11937	1	10
output_COI.txt	C	HMN10	2	2	1.93967	2	9.02499999999998
output_COI.txt	C	HOA7	1	1	1.90316	1	7
output_COI.txt	C	HRA47	1	1	1.75437	1	7
output_COI.txt	C	HRH12	1	1	1.98685	1	7
output_COI.txt	C	IAA03	1	1	2.08764	1	10
output_COI.txt	C	IOO8	1	1	1.91655	1	8
output_COI.txt	C	JAJ29	1	1	1.94404	1	8.02499999999998
output_COI.txt	C	JAL19	1	1	1.86876	1	7.02499999999998
output_COI.txt	C	JKJ32	3	2	2.47976	2	15
output_COI.txt	C	JRS52	2	2	1.88564	2	10.025
output_COI.txt	C	KHA34	1	1	1.89652	1	7
output_COI.txt	C	KHS9	2	2	1.9299	2	10.025
output_COI.txt	C	KKV37	1	1	2.01912	1	9
output_COI.txt	C	KMA10	1	1	1.85868	1	6
output_COI.txt	C	KMK11	2	2	2.2443	2	13
output_COI.txt	C	KMM2	3	2	2.31935	2	14
output_COI.txt	C	KSA30	2	2	1.87634	2	11
output_COI.txt	C	KSH24	3	2	2.36909	2	13
output_COI.txt	C	MAO35	1	1	2.05965	1	8.02499999999998
output_COI.txt	C	MHH2	1	1	1.79434	1	7
output_COI.txt	C	MHJ34	1	1	1.88569	1	8
output_COI.txt	C	MHM18	1	1	1.89556	1	7.02499999999998
